"","Price","Regionname","CouncilArea","MonthsSince2016","BuildingAge","Landsize","BuildingArea","Lattitude","Longtitude","Type","Rooms","Distance","Bathroom","Car"
"28",603000,7,23,15,67,272,84,-37.7294,144.888,1,2,13.5,1,1
"29",700000,7,23,15,8,239,134,-37.7218,144.8837,2,3,13.5,2,2
"30",600000,7,23,15,37,290,116,-37.7273,144.8744,1,3,13.5,1,1
"31",500000,7,23,15,6,168,86,-37.7215,144.8864,3,2,13.5,1,1
"32",725000,7,23,5,36,976,186,-37.7239,144.8735,1,6,13.5,3,2
"33",450000,7,23,5,1,110,90,-37.7216,144.871,2,2,13.5,1,1
"34",515000,7,23,11,3,141,73,-37.7298,144.8883,3,2,13.5,1,1
"35",530000,7,23,9,4,120,94,-37.7234,144.8792,3,2,13.5,1,1
"36",895000,7,23,9,41,1063,133,-37.7249,144.8728,1,3,13.5,1,6
"37",805000,7,23,12,66,0,105,-37.7217,144.8783,1,3,13.5,1,1
"38",752000,7,23,14,24,265,130,-37.7302,144.8855,3,3,13.5,1,1
"39",700000,7,23,10,7,165,133,-37.727,144.887,2,3,13.5,2,2
"40",830000,7,23,4,56,971,113,-37.7186,144.876,1,3,13.5,1,2
"41",675000,7,23,7,41,612,100,-37.7187,144.8765,1,2,13.5,1,1
"42",1042000,7,23,7,66,612,174,-37.7173,144.8796,1,3,13.5,2,5
"43",773000,7,23,9,36,531,309,-37.7263,144.8679,1,4,13.5,3,4
"44",810000,7,23,15,37,555,192,-37.7285,144.8694,1,3,13.5,3,2
"45",715000,7,23,15,22,422,126,-37.7164,144.8792,1,3,13.5,2,2
"46",540000,7,23,6,6,161,101,-37.7231,144.8802,2,3,13.5,2,1
"47",825000,7,23,11,56,293,102,-37.72,144.8776,2,3,13.5,2,1
"48",685000,7,23,5,41,579,113,-37.7226,144.8733,1,3,13.5,1,1
"49",900000,7,23,11,41,628,146,-37.7256,144.8739,1,4,13.5,2,3
"50",1275000,6,26,9,116,120,82,-37.8459,144.9555,1,2,3.3,1,0
"51",2850000,6,26,15,127,211,198,-37.8481,144.9499,1,3,3.3,2,0
"52",1850000,6,26,15,127,128,133,-37.8452,144.9488,1,3,3.3,2,0
"53",1436000,6,26,15,117,130,81,-37.8431,144.9565,1,2,3.3,1,0
"54",2300000,6,26,5,136,153,180,-37.8447,144.9523,1,4,3.3,2,1
"55",1800000,6,26,11,20,132,159,-37.8415,144.952,1,3,3.3,2,1
"56",2120000,6,26,9,116,199,107,-37.8422,144.9554,1,2,3.3,1,1
"57",1800000,6,26,9,116,90,122,-37.8421,144.9571,1,3,3.3,2,1
"58",2615000,6,26,12,136,177,181,-37.8415,144.9585,1,3,3.3,2,1
"59",1370000,6,26,6,16,0,85,-37.8451,144.9511,1,3,3.3,2,2
"60",1322500,6,26,10,126,149,98,-37.8443,144.9481,1,2,3.3,1,0
"61",1562500,6,26,10,126,141,83,-37.8424,144.9562,1,2,3.3,1,0
"62",2000000,6,26,4,116,211,147,-37.847,144.9575,1,3,3.3,2,1
"63",3010000,6,26,15,127,147,146,-37.8473,144.9551,1,3,3.3,2,0
"64",2800000,6,26,6,106,327,254,-37.8467,144.9475,1,4,3.3,3,1
"65",2100000,6,26,4,116,120,123,-37.8427,144.9546,1,3,3.3,1,1
"66",2000000,6,26,9,126,238,131,-37.8461,144.9528,1,3,3.3,1,1
"67",442500,6,26,14,47,0,34,-37.8421,144.9517,3,1,3.3,1,0
"68",4735000,6,26,14,107,330,207,-37.8477,144.9558,1,4,3.3,2,1
"69",2140000,6,26,6,136,183,145,-37.8434,144.9495,1,4,3.3,2,1
"70",980000,6,26,5,126,79,68,-37.8387,144.9519,1,2,3.3,1,0
"71",1740000,6,26,8,126,147,134,-37.8448,144.9453,1,3,3.3,2,2
"72",985000,6,26,7,116,81,54,-37.8411,144.9497,1,1,3.3,1,0
"73",2000000,3,8,9,86,853,263,-37.7707,145.0318,1,4,6.4,2,4
"74",1717500,3,8,10,91,599,203,-37.7717,145.031,1,4,6.4,2,1
"75",2840000,3,8,6,106,809,165,-37.775,145.0268,1,5,6.4,4,4
"76",525500,3,8,11,56,88,60,-37.7791,145.0306,3,2,6.4,1,1
"77",805000,3,8,11,12,155,140,-37.7804,145.0308,2,2,6.4,2,3
"78",1830000,3,8,11,46,606,112,-37.7743,145.0316,1,4,6.4,2,2
"79",2100000,3,8,11,8,575,271,-37.7723,145.0319,1,4,6.4,2,2
"80",865000,3,8,5,6,180,131,-37.7802,145.0243,1,3,6.4,1,1
"81",390000,3,8,5,56,0,60,-37.7773,145.0314,3,2,6.4,1,1
"82",512000,3,8,14,52,0,61,-37.7805,145.0262,3,2,6.4,1,1
"83",1900000,3,31,11,86,556,272,-37.7844,145.0225,1,4,6.4,2,2
"84",1950000,3,8,7,96,589,210,-37.7719,145.0309,1,4,6.4,2,3
"85",520000,7,12,9,1,352,242,-37.87,144.825,1,3,13.8,2,1
"86",1525000,7,12,12,11,729,268,-37.8721,144.8105,1,5,13.8,3,3
"87",720000,7,12,2,3,292,125,-37.8687,144.8197,2,2,13.8,1,2
"88",1120000,7,12,15,87,506,120,-37.8693,144.8375,1,3,13.8,1,2
"89",1780000,7,12,6,54,1057,220,-37.8681,144.819,1,4,13.8,3,6
"90",630000,7,12,8,61,311,94,-37.8702,144.8143,3,3,13.8,1,2
"91",660000,7,12,5,61,602,123,-37.8616,144.8116,1,3,13.8,1,1
"92",580000,7,12,10,28,225,93,-37.8696,144.827,3,2,13.8,1,1
"93",1335000,7,12,10,63,777,22,-37.8697,144.8249,1,3,13.8,1,4
"94",510000,7,12,9,26,127,76,-37.8686,144.8182,3,2,13.8,1,1
"95",425000,7,12,9,36,115,57,-37.871,144.8185,3,2,13.8,1,2
"96",391000,7,12,14,52,0,65,-37.8678,144.8384,3,2,13.8,1,1
"97",845000,7,12,14,67,745,130,-37.8658,144.8155,1,4,13.8,1,2
"98",730000,7,12,8,2,69,141,-37.868,144.8286,3,3,13.8,2,1
"99",447000,7,12,10,26,137,77,-37.8655,144.8299,3,2,13.8,1,1
"100",678000,7,12,4,66,606,87,-37.8608,144.8124,1,3,13.8,1,2
"101",580000,7,12,7,3,175,76,-37.8687,144.8268,3,2,13.8,2,1
"102",840000,7,12,15,52,534,136,-37.86,144.8245,1,3,13.8,2,2
"103",577000,7,12,4,9,205,113,-37.8684,144.815,3,3,13.8,2,1
"104",857000,7,12,11,66,675,100,-37.8653,144.8129,1,2,13.8,2,1
"105",730000,7,12,5,2,70,3,-37.868,144.8285,3,3,13.8,2,1
"106",535600,7,12,7,20,154,91,-37.8646,144.8272,1,2,13.8,1,1
"107",1085000,7,12,9,51,592,251,-37.8388,144.8567,1,5,11.1,3,6
"108",781000,7,12,9,46,533,117,-37.8291,144.835,1,3,11.1,1,2
"109",421000,7,12,15,8,77,77,-37.8351,144.8529,2,2,11.1,1,1
"110",683000,7,12,6,49,534,167,-37.8284,144.8355,1,3,11.1,1,2
"111",720000,7,12,8,4,0,130,-37.8379,144.8583,1,3,11.1,2,1
"112",588000,7,12,5,46,328,118,-37.838,144.8555,1,3,11.1,1,1
"113",710000,7,12,11,56,540,116,-37.8294,144.8378,1,3,11.1,1,3
"114",875000,7,12,10,51,559,169,-37.8448,144.8529,1,4,11.1,1,4
"115",675000,7,12,5,4,171,109,-37.8337,144.8554,1,3,11.1,2,2
"116",708000,7,12,10,56,585,97,-37.8258,144.8523,1,3,11.1,1,2
"117",693000,7,12,5,8,315,170,-37.8391,144.8467,1,4,11.1,2,4
"118",620000,7,12,8,6,276,100,-37.8262,144.8443,1,3,11.1,2,2
"119",728500,7,12,8,56,531,157,-37.8277,144.8385,1,3,11.1,1,1
"120",931000,7,12,8,66,590,160,-37.8382,144.8649,1,3,11.1,2,1
"121",815000,7,12,14,57,555,130,-37.8318,144.8388,1,3,11.1,2,3
"122",1200000,7,12,11,56,633,158,-37.8375,144.8541,1,4,11.1,1,4
"123",292000,7,12,8,46,153,70,-37.8332,144.8649,3,2,11.1,1,1
"124",599000,6,27,9,52,0,76,-37.8543,145.0262,3,2,6.3,1,1
"125",995000,6,27,12,18,0,100,-37.8552,145.016,3,3,6.3,2,2
"126",1205000,6,27,12,16,101,105,-37.854,145.0135,2,3,6.3,2,2
"127",1939000,6,27,12,127,296,150,-37.8614,145.0274,1,3,6.3,2,2
"128",1870000,6,27,15,129,217,116,-37.8592,145.0182,1,3,6.3,1,1
"129",1918000,6,27,15,22,0,165,-37.8537,145.0267,2,3,6.3,2,2
"130",2050000,6,27,15,107,205,116,-37.8574,145.0281,1,3,6.3,2,1
"131",735000,6,27,5,46,2113,14,-37.8543,145.0262,3,3,6.3,2,1
"132",1435000,6,27,10,116,144,107,-37.8564,145.0228,1,1,6.3,2,1
"133",280000,6,27,9,41,0,38,-37.8619,145.0185,3,1,6.3,1,1
"134",592500,6,27,12,46,0,73,-37.8574,145.0174,3,2,6.3,1,1
"135",1210000,6,27,11,106,249,96,-37.8543,145.016,1,2,6.3,1,0
"136",2801000,6,27,11,116,624,222,-37.8536,145.0173,1,4,6.3,2,2
"137",1800000,6,27,10,106,405,121,-37.8545,145.0145,1,3,6.3,2,2
"138",2200000,6,27,10,116,495,163,-37.8613,145.0264,1,4,6.3,1,2
"139",5525000,6,27,9,81,1491,516,-37.8602,145.013,1,6,6.3,3,4
"140",440000,6,27,15,47,0,53,-37.8531,145.0115,3,1,6.3,1,1
"141",1300000,6,27,6,116,212,106,-37.8542,145.0149,1,3,6.3,1,2
"142",704000,6,27,11,47,0,74,-37.8573,145.0186,3,2,6.3,1,1
"143",620000,6,27,11,46,0,98,-37.8596,145.0198,3,2,6.3,1,1
"144",1900000,6,27,5,116,328,108,-37.8559,145.0158,1,3,6.3,1,2
"145",710000,6,27,14,47,2471,80,-37.8573,145.0186,3,2,6.3,1,1
"146",598000,6,27,14,47,0,88,-37.8593,145.0156,3,2,6.3,1,1
"147",1285000,6,27,14,97,186,80,-37.8554,145.0173,1,3,6.3,1,2
"148",520000,6,27,6,46,0,76,-37.8618,145.0183,3,2,6.3,1,1
"149",3625000,6,27,11,116,709,251,-37.8574,145.016,1,4,6.3,1,2
"150",4200000,6,27,11,16,563,333,-37.8582,145.0138,1,4,6.3,3,3
"151",1101000,6,27,11,16,103,3,-37.8542,145.0135,2,3,6.3,1,2
"152",3512500,6,27,11,18,617,285,-37.8557,145.0264,1,3,6.3,2,2
"153",869000,6,27,5,76,0,91,-37.853,145.0264,3,3,6.3,1,1
"154",567000,6,27,8,3,0,53,-37.8549,145.0113,3,1,6.3,1,1
"155",940000,7,23,12,96,298,108,-37.7777,144.9195,1,3,5.9,1,2
"156",467000,7,23,12,36,0,62,-37.7761,144.9201,3,2,5.9,1,1
"157",1380000,7,23,15,107,277,174,-37.7777,144.9221,1,3,5.9,2,2
"158",490000,7,23,15,47,423,62,-37.7736,144.9015,3,2,5.9,1,1
"159",1850000,7,23,15,117,478,270,-37.7729,144.9179,1,4,5.9,3,1
"160",971000,7,23,6,116,285,128,-37.775,144.9091,1,3,5.9,2,2
"161",710000,7,23,6,126,214,77,-37.7776,144.9142,1,2,5.9,1,1
"162",2425000,7,23,6,129,1014,435,-37.7721,144.9184,1,6,5.9,3,2
"163",750000,7,23,6,96,226,92,-37.7745,144.9093,1,2,5.9,1,1
"164",1053000,7,23,8,116,269,109,-37.7748,144.929,1,2,5.9,1,1
"165",1377000,7,23,8,116,417,168,-37.7756,144.9208,1,3,5.9,1,1
"166",970000,7,23,5,112,350,125,-37.7759,144.91,1,3,5.9,1,2
"167",751000,7,23,5,126,118,79,-37.7807,144.9288,1,2,5.9,1,1
"168",950000,7,23,5,116,173,102,-37.7731,144.9206,1,2,5.9,1,1
"169",685000,7,23,11,21,228,90,-37.7718,144.9066,3,2,5.9,1,2
"170",1230000,7,23,10,56,594,148,-37.7819,144.9064,1,3,5.9,1,2
"171",770000,7,23,9,116,226,87,-37.7774,144.9186,1,2,5.9,1,1
"172",890000,7,23,12,126,300,185,-37.7766,144.9143,1,4,5.9,1,1
"173",1440000,7,23,14,117,487,131,-37.7725,144.9146,1,3,5.9,1,1
"174",1000000,7,23,11,61,440,120,-37.7746,144.9031,1,3,5.9,2,2
"175",1435000,7,23,11,66,532,147,-37.7737,144.904,1,3,5.9,2,2
"176",390000,7,23,11,44,0,58,-37.7723,144.9094,3,1,5.9,1,1
"177",1425000,7,23,8,96,495,139,-37.7821,144.9055,1,3,5.9,2,2
"178",1340000,7,23,5,38,683,232,-37.775,144.932,1,4,5.9,2,2
"179",955000,7,23,5,106,263,117,-37.7753,144.9116,1,3,5.9,1,1
"180",1100000,7,23,10,96,559,195,-37.7791,144.9136,1,4,5.9,2,5
"181",432000,7,23,10,38,0,62,-37.773,144.9303,3,2,5.9,1,1
"182",1640000,7,23,4,126,562,204,-37.782,144.903,1,4,5.9,3,2
"183",1430000,7,23,4,116,461,286,-37.78,144.9295,1,6,5.9,2,1
"184",610000,7,23,4,21,301,104,-37.7791,144.914,3,2,5.9,1,1
"185",940000,7,23,4,66,491,127,-37.7727,144.9136,1,3,5.9,3,1
"186",890000,7,23,7,96,242,110,-37.7765,144.9114,1,3,5.9,1,1
"187",1180000,7,23,9,86,617,149,-37.7742,144.906,1,3,5.9,2,2
"188",1480000,7,23,9,77,597,180,-37.7757,144.9088,1,4,5.9,2,2
"189",865000,7,23,15,2,146,132,-37.7713,144.9038,2,2,5.9,2,1
"190",442000,7,23,6,41,0,62,-37.7733,144.9219,3,2,5.9,1,1
"191",1037500,7,23,11,96,506,110,-37.7779,144.9133,1,3,5.9,1,2
"192",1050000,7,23,11,3,318,160,-37.7744,144.9035,2,3,5.9,2,2
"193",440000,7,23,11,46,0,65,-37.7749,144.9137,3,2,5.9,1,1
"194",1430000,7,23,5,116,418,158,-37.7766,144.9187,1,4,5.9,2,0
"195",1130000,7,23,4,116,272,157,-37.7774,144.928,1,3,5.9,2,1
"196",1135000,7,23,9,106,296,104,-37.777,144.9176,1,3,5.9,1,1
"197",950000,7,23,9,96,298,147,-37.7778,144.9131,1,4,5.9,2,1
"198",390000,7,23,14,5,1957,69,-37.7731,144.9074,3,2,5.9,1,1
"199",1345000,7,23,14,97,552,155,-37.7769,144.9138,1,4,5.9,1,1
"200",1381500,7,23,14,117,416,168,-37.7727,144.9055,1,3,5.9,2,2
"201",940000,7,23,7,5,285,172,-37.7778,144.9061,1,3,5.9,2,2
"202",995000,7,23,7,6,314,177,-37.7778,144.9042,1,3,5.9,2,1
"203",786000,7,23,7,76,576,120,-37.7816,144.9217,1,3,5.9,2,1
"204",705000,7,23,6,106,252,108,-37.7825,144.9206,1,2,5.9,1,3
"205",760000,7,23,6,116,124,77,-37.7807,144.9285,1,2,5.9,1,1
"206",1000000,7,23,11,13,200,144,-37.7766,144.9277,2,3,5.9,2,2
"207",1305000,7,23,5,116,278,166,-37.7768,144.9223,1,3,5.9,1,1
"208",1215000,7,23,8,56,452,175,-37.7762,144.9174,1,3,5.9,1,1
"209",545000,7,23,8,116,194,71,-37.7772,144.9118,3,2,5.9,1,2
"210",1705000,7,23,7,4,598,273,-37.7774,144.9104,1,4,5.9,2,4
"211",2650000,6,4,9,1,753,399,-37.8669,145.0767,1,4,11,3,2
"212",1670000,6,4,12,86,599,220,-37.8673,145.0688,1,3,11,2,2
"213",2050000,6,4,12,2,310,315,-37.874,145.0714,2,3,11,3,4
"214",1555000,6,4,6,81,731,149,-37.8666,145.0676,1,3,11,2,2
"215",1100000,6,4,10,12,276,178,-37.8699,145.0778,1,3,11,3,2
"216",1337000,6,4,10,66,583,112,-37.8685,145.0786,1,3,11,1,2
"217",2950000,6,4,9,7,1472,618,-37.8729,145.0788,1,8,11,7,4
"218",1518000,6,4,9,96,516,145,-37.8675,145.0668,1,3,11,2,2
"219",1710000,6,4,12,66,806,101,-37.8695,145.084,1,3,11,1,2
"220",1655000,6,4,12,76,780,152,-37.8599,145.0815,1,3,11,1,3
"221",1550000,6,4,11,78,780,180,-37.86,145.0817,1,4,11,2,2
"222",1662000,6,4,5,10,351,228,-37.8742,145.07,1,3,11,2,2
"223",1665000,6,4,10,71,702,145,-37.8737,145.0695,1,3,11,2,3
"224",3510000,6,4,15,2,755,444,-37.8598,145.0796,1,5,11,5,2
"225",900000,6,4,11,26,153,110,-37.8655,145.0808,2,3,11,2,2
"226",2752000,6,4,8,6,1075,390,-37.8714,145.073,1,5,11,4,2
"227",1500000,6,4,8,71,710,139,-37.8653,145.0897,1,3,11,2,2
"228",1800000,6,4,14,67,749,206,-37.8669,145.077,1,4,11,2,4
"229",1830000,6,4,14,77,724,168,-37.8619,145.0879,1,3,11,2,3
"230",1415000,6,4,6,66,605,111,-37.8703,145.0774,1,3,11,1,1
"231",1440000,6,4,6,76,687,104,-37.872,145.0692,1,2,11,1,1
"232",1250000,6,4,11,9,321,199,-37.8693,145.08,2,4,11,2,2
"233",1600000,6,4,11,66,700,266,-37.8724,145.0758,1,5,11,3,4
"234",1860000,6,4,11,16,696,274,-37.8711,145.0746,1,4,11,2,3
"235",1790000,6,4,5,81,514,240,-37.8664,145.0772,1,4,11,2,2
"236",1950000,6,4,5,76,844,278,-37.8715,145.0688,1,4,11,2,2
"237",1650000,6,4,8,69,697,164,-37.8636,145.0903,1,3,11,1,1
"238",1200000,6,22,15,1,372,201,-37.8716,145.0999,1,4,12.2,3,2
"239",1075000,6,22,6,66,695,114,-37.8694,145.0944,1,2,12.2,1,2
"240",1500000,6,22,8,16,621,203,-37.8647,145.1023,1,4,12.2,2,2
"241",700000,6,22,11,46,367,110,-37.8662,145.109,2,2,12.2,1,2
"242",761000,6,22,11,66,400,94,-37.8675,145.106,1,3,12.2,2,4
"243",1365000,6,22,9,66,792,792,-37.864,145.0972,1,3,12.2,1,1
"244",1100000,6,22,12,46,803,152,-37.8621,145.1126,1,4,12.2,2,2
"245",690000,6,22,5,13,216,90,-37.8711,145.1017,3,2,12.2,1,1
"246",1631000,6,22,10,66,782,215,-37.8621,145.1021,1,3,12.2,2,3
"247",1500000,6,22,10,86,593,255,-37.8655,145.096,1,4,12.2,2,1
"248",1529500,6,22,9,16,585,317,-37.8637,145.1024,1,5,12.2,3,2
"249",600000,6,22,15,47,153,80,-37.8696,145.0962,3,2,12.2,1,1
"250",1240000,6,22,11,66,766,192,-37.8629,145.1097,1,4,12.2,2,2
"251",700000,6,22,8,9,192,88,-37.8709,145.102,3,2,12.2,1,2
"252",1110000,6,22,9,66,586,86,-37.8683,145.1082,1,2,12.2,1,1
"253",1305000,6,22,14,57,760,120,-37.858,145.1038,1,3,12.2,1,1
"254",855000,6,22,14,59,320,85,-37.87,145.1103,1,3,12.2,2,1
"255",900500,6,22,11,4,256,134,-37.8655,145.1096,2,3,12.2,2,2
"256",1200000,6,22,5,46,839,198,-37.8614,145.1098,1,3,12.2,2,2
"257",830000,6,22,8,4,212,130,-37.8723,145.1089,2,3,12.2,1,2
"258",850000,7,23,9,46,593,118,-37.7677,144.8674,1,3,10.5,1,1
"259",750000,7,23,9,36,0,103,-37.7634,144.8611,1,3,10.5,1,1
"260",1155000,7,23,6,8,569,225,-37.7654,144.8655,1,4,10.5,2,2
"261",680000,7,23,8,46,570,120,-37.7591,144.8542,1,3,10.5,1,2
"262",627500,7,23,10,46,550,143,-37.7632,144.8622,1,3,10.5,1,1
"263",950000,7,23,12,46,761,281,-37.7524,144.8714,1,4,10.5,3,3
"264",705000,7,23,5,56,581,106,-37.7691,144.8575,1,3,10.5,1,1
"265",1100000,7,23,5,24,873,395,-37.7609,144.8639,1,4,10.5,3,2
"266",892500,7,23,5,51,586,118,-37.7642,144.8603,1,3,10.5,1,1
"267",522500,7,23,9,21,220,101,-37.756,144.8641,1,2,10.5,1,1
"268",680000,7,23,9,56,554,140,-37.7649,144.8633,1,4,10.5,2,2
"269",875000,7,23,14,57,812,117,-37.765,144.8578,1,3,10.5,1,3
"270",762000,7,23,7,55,589,150,-37.7573,144.8534,1,4,10.5,2,2
"271",411000,7,23,11,21,0,85,-37.7608,144.863,3,2,10.5,1,1
"272",805000,7,23,11,46,593,103,-37.7607,144.8581,1,3,10.5,2,2
"273",634000,7,23,5,66,582,153,-37.7584,144.8568,1,3,10.5,2,1
"274",1819000,6,26,9,116,244,180,-37.8668,144.9928,1,4,6.6,2,1
"275",410000,6,26,12,51,0,61,-37.8731,144.9958,3,2,6.6,1,2
"276",1015000,6,26,11,16,114,120,-37.8723,144.9961,2,2,6.6,1,2
"277",502500,6,26,10,56,0,65,-37.8725,144.9952,3,2,6.6,1,1
"278",520000,6,26,10,46,0,58,-37.8742,144.9972,3,2,6.6,1,0
"279",442000,6,26,9,56,0,61,-37.8726,144.9962,3,2,6.6,1,1
"280",1193000,6,26,6,96,178,100,-37.8663,144.9948,1,3,6.6,1,1
"281",416000,6,26,6,56,0,49,-37.8678,144.9966,3,2,6.6,1,1
"282",474000,6,26,5,46,0,59,-37.8667,144.9917,3,2,6.6,1,1
"283",981000,6,26,14,87,159,84,-37.874,144.9933,1,2,6.6,1,0
"284",1690000,6,26,14,127,339,159,-37.872,144.9909,1,3,6.6,2,2
"285",540000,6,26,6,46,483,51,-37.8727,144.9969,3,2,6.6,1,1
"286",2100000,6,4,9,96,659,123,-37.8094,145.0807,1,2,9.7,1,1
"287",1800000,6,4,9,31,715,218,-37.811,145.0958,1,4,9.7,2,2
"288",1255000,6,4,9,16,208,129,-37.8128,145.0975,2,2,9.7,1,1
"289",1070000,6,4,12,18,206,112,-37.8161,145.0812,3,3,9.7,2,2
"290",2570000,6,4,12,7,715,420,-37.8028,145.0768,1,5,9.7,3,2
"291",2400000,6,4,12,31,744,226,-37.8147,145.0748,1,4,9.7,2,2
"292",806000,6,4,12,39,122,97,-37.8124,145.0916,3,2,9.7,1,1
"293",4000000,6,4,12,81,2051,449,-37.8051,145.1016,1,6,9.7,4,7
"294",2250000,6,4,12,10,600,356,-37.8061,145.0801,1,5,9.7,3,2
"295",2800000,6,4,6,15,678,349,-37.8048,145.0708,1,5,9.7,3,2
"296",1850000,6,4,8,86,1015,166,-37.8074,145.0826,1,2,9.7,1,1
"297",700000,6,4,5,46,188,110,-37.8065,145.065,1,3,9.7,1,1
"298",500000,6,4,5,56,0,72,-37.8162,145.0841,1,2,9.7,1,1
"299",2125000,6,4,5,31,699,252,-37.814,145.0966,1,3,9.7,2,2
"300",1800000,6,4,10,68,577,200,-37.8032,145.0693,1,4,9.7,2,2
"301",635000,6,4,10,2,0,70,-37.8116,145.0724,3,2,9.7,1,1
"302",526000,6,4,9,56,0,73,-37.8144,145.0993,3,2,9.7,1,1
"303",905000,6,4,12,21,281,150,-37.8013,145.0652,1,3,9.7,1,2
"304",1750000,6,4,12,0,453,308,-37.8044,145.1006,1,4,9.7,3,2
"305",760000,6,4,12,56,121,100,-37.8112,145.0881,2,2,9.7,1,1
"306",1367000,6,4,12,13,219,164,-37.8125,145.0849,2,3,9.7,2,2
"307",1400000,6,4,11,7,241,240,-37.8042,145.1042,2,4,9.7,3,2
"308",3270000,6,4,11,89,935,241,-37.8157,145.0795,1,4,9.7,2,4
"309",625000,6,4,8,56,115,104,-37.8122,145.0879,3,2,9.7,1,1
"310",2730000,6,4,10,19,674,336,-37.8068,145.0786,1,4,9.7,3,2
"311",460000,6,4,4,66,0,79,-37.8152,145.0839,3,2,9.7,1,1
"312",1053000,6,4,7,31,231,98,-37.8123,145.0821,3,2,9.7,1,2
"313",1472000,6,4,7,21,306,170,-37.8106,145.0848,2,3,9.7,2,2
"314",754000,6,4,15,27,87,88,-37.8134,145.081,3,2,9.7,1,1
"315",2188000,6,4,11,35,752,253,-37.8149,145.0747,1,4,9.7,2,2
"316",755000,6,4,11,36,213,92,-37.8092,145.0789,3,2,9.7,1,1
"317",3290000,6,4,5,106,1007,350,-37.8135,145.0995,1,4,9.7,3,2
"318",2410000,6,4,9,76,685,207,-37.8056,145.071,1,4,9.7,2,1
"319",650000,6,4,9,56,0,150,-37.8147,145.084,3,2,9.7,1,1
"320",2000000,6,4,6,86,739,291,-37.8039,145.0631,1,4,9.7,1,2
"321",1900000,6,4,11,76,665,155,-37.8057,145.0825,1,4,9.7,2,1
"322",3401000,6,4,11,86,706,166,-37.8161,145.0748,1,3,9.7,2,1
"323",1750000,6,4,11,73,613,193,-37.8056,145.0688,1,3,9.7,2,3
"324",3020000,6,4,5,7,715,420,-37.8028,145.0768,1,5,9.7,3,2
"325",2450000,6,4,5,56,981,260,-37.8058,145.0627,1,5,9.7,2,2
"326",730000,6,4,8,56,130,80,-37.812,145.0876,3,2,9.7,1,1
"327",1500000,6,4,8,5,404,190,-37.8075,145.1011,1,3,9.7,2,2
"328",1700000,6,4,7,81,672,115,-37.8099,145.0792,1,4,9.7,1,1
"329",1315000,6,4,9,16,260,167,-37.7966,145.1021,2,3,9.2,2,2
"330",1500000,6,4,9,66,778,154,-37.7939,145.0789,1,3,9.2,2,1
"331",3230000,6,4,9,56,1135,275,-37.8014,145.0892,1,4,9.2,4,3
"332",1905000,6,4,12,61,647,185,-37.7917,145.0868,1,4,9.2,2,2
"333",3300000,6,4,12,1,760,477,-37.7907,145.0907,1,5,9.2,4,2
"334",1900000,6,4,12,61,642,215,-37.7988,145.0726,1,4,9.2,2,2
"335",2251000,6,4,12,66,888,137,-37.8002,145.0949,1,3,9.2,1,2
"336",2205000,6,4,12,66,750,214,-37.7906,145.0788,1,4,9.2,2,2
